Date,Time,Filename,Animals Detected,Total Animals,Carnivores
26-06-2026,00:17:52,test.jpg,"giraffe, zebra, bird, elephant, bird, bird, cow, cow",8,0
26-06-2026,00:36:14,test1.jpg,"sheep, horse, cow, elephant, horse, bird, cow, dog, horse, bird, bird, dog, sheep, cow, cow, sheep",16,2
